sensor_id,timestamp,value
0,1636626530,187
0,1636626533,187
0,1636626536,187
0,1636626539,187
0,1636626542,187
0,1636626545,187
0,1636626548,187
0,1636626551,187
0,1636626554,187
0,1636626557,187
0,1636626560,187
0,1636626563,187
0,1636626566,187
0,1636626569,187
0,1636626572,187
0,1636626575,187
0,1636626578,187
0,1636626581,187
0,1636626584,187
0,1636626587,188
0,1636626590,187
0,1636626593,187
0,1636626596,187
0,1636626599,187
0,1636626602,187
0,1636626605,187
0,1636626608,187
0,1636626611,187
0,1636626614,187
0,1636626617,187
0,1636626620,188
0,1636626623,188
0,1636626626,187
0,1636626629,187
0,1636626632,187
0,1636626635,187
0,1636626638,187
0,1636626641,187
0,1636626644,187
0,1636626647,188
0,1636626650,187
0,1636626653,188
0,1636626656,187
0,1636626659,187
0,1636626662,187
0,1636626665,187
0,1636626668,188
0,1636626671,188
0,1636626674,188
0,1636626677,188
0,1636626680,187
0,1636626683,187
0,1636626686,187
0,1636626689,187
0,1636626692,187
0,1636626695,187
0,1636626699,188
0,1636626702,188
0,1636626705,187
0,1636626708,187
0,1636626711,187
0,1636626714,187
0,1636626717,187
0,1636626720,188
0,1636626723,188
0,1636626726,188
0,1636626729,188
0,1636626732,188
0,1636626735,188
0,1636626738,187
0,1636626741,188
0,1636626744,187
0,1636626747,188
0,1636626750,188
0,1636626753,188
0,1636626756,188
0,1636626759,188
0,1636626762,188
0,1636626765,188
0,1636626768,187
0,1636626771,187
0,1636626774,187
0,1636626777,188
0,1636626780,188
0,1636626783,188
0,1636626786,188
0,1636626789,188
0,1636626792,188
0,1636626795,188
0,1636626798,188
0,1636626801,188
0,1636626804,188
0,1636626807,188
0,1636626810,188
0,1636626813,189
0,1636626816,188
0,1636626819,188
0,1636626822,188
0,1636626825,188
0,1636626828,188
0,1636626831,188
0,1636626834,188
0,1636626837,188
0,1636626840,188
0,1636626843,188
0,1636626846,188
0,1636626849,188
0,1636626852,187
0,1636626855,188
0,1636626858,188
0,1636626861,188
0,1636626864,188
