$$1iSP"f j'9)
R1i%%%)2 i[Vj4qPjkC2$14-0.20,107392
-0.10,108008
-0.20,108632
-0.10,109252
-0.20,109884
-0.20,110504
-0.20,111128
-0.10,111764
-0.20,112384
-0.20,113008
-0.20,114044
-0.20,115232
-0.20,116424
-0.20,117612
-0.20,118804
-0.20,119992
-0.20,121184
-0.20,122372
-0.20,123564
-0.20,124752
-0.20,125944
-0.20,127132
-0.20,128324
-0.20,129512
-0.10,130704
-0.20,131892
-0.20,133084
-0.20,134272
-0.20,135464
-0.10,136652
-0.20,137844
-0.20,139032
-0.10,140224
-0.20,141412
-0.10,142604
-0.20,143792
-0.20,144984
-0.20,146172
-0.20,147364
-0.30,148552
-0.20,149744
-0.20,150932
-0.20,152124
-0.20,153312
-0.20,154504
-0.10,155692
-0.20,156884
-0.20,158072
-0.20,159264
-0.10,160452
-0.20,161644
-0.20,162832
-0.10,164024
-0.20,165212
-0.20,166404
-0.20,167592
-0.20,168784
-0.20,169972
-0.20,171164
-0.20,172352
-0.20,173544
-0.20,174732
-0.20,175924
-0.20,177112
-0.20,178304
-0.20,179492
-0.20,180684
-0.10,181872
-0.20,183064
-0.20,184252
-0.20,185444
-0.20,186632
-0.20,187824
-0.20,189012
-0.20,190204
-0.20,191392
-0.20,192584
-0.20,193772
-0.20,194964
-0.20,196152
-0.20,197344
-0.20,198532
-0.10,199724
-0.20,200912
-0.10,202104
-0.20,203292
-0.20,204484
-0.20,205672
-0.20,206864
-0.20,208052
-0.20,209244
-0.10,210432
-0.20,211624
-0.20,212812
-0.20,214004
-0.20,215192
-0.20,216384
-0.20,217572
-0.20,218764
-0.20,219952
-0.20,326136
-0.20,326752
-0.10,327372
-0.20,327996
-0.20,328624
-0.20,329252
-0.20,329876
-0.20,330504
-0.20,331128
-0.20,331748
-0.20,332780
-0.20,333972
-0.20,335160
-0.20,336352
-0.20,337540
-0.20,338732
-0.20,339920
-0.10,341112
-0.20,342300
-0.20,343492
-0.20,344680
-0.20,345872
-0.20,347060
-0.20,348252
-0.20,349440
-0.20,350632
-0.10,351820
-0.20,353012
-0.20,354200
-0.20,355392
-0.20,356580
-0.10,357772
-0.20,358960
-0.10,360152
-0.20,361340
-0.10,362532
-0.20,363720
-0.20,364912
-0.20,366100
-0.20,367292
-0.20,368480
-0.20,369676
-0.10,370860
-0.20,372052
-0.20,373240
-0.20,374432
-0.20,375620
-0.20,376812
-0.20,378000
-0.20,379192
-0.20,380380
-0.20,381572
-0.20,382760
-0.20,383952
-0.10,385140
-0.20,386332
-0.20,387520
-0.20,388712
-0.20,389900
-0.20,391092
-0.20,392280
-0.20,393472
-0.20,394660
-0.20,395852
-0.20,397040
-0.20,398232
