71471448
-0.20,800060
-0.20,801248
-0.20,802440
-0.20,803628
-0.20,804820
-0.20,806008
-0.20,807200
-0.20,808388
-0.20,809580
-0.20,810768
-0.20,811960
-0.20,813148
-0.10,814340
-0.20,815528
-0.20,816720
-0.20,817908
-0.20,819100
-0.20,820288
-0.20,821480
-0.20,822668
-0.20,823860
-0.20,825048
-0.10,826240
-0.20,827428
-0.20,828620
-0.20,829808
-0.20,831000
-0.20,832188
-0.20,833380
-0.20,834576
-0.20,835760
-0.20,836948
-0.20,838140
-0.20,839328
-0.20,840520
-0.20,841708
-0.20,842900
-0.20,844088
-0.20,845280
-0.20,846468
-0.20,847660
-0.20,848848
-0.20,850040
-0.20,851228
-0.20,852420
-0.10,853608
-0.20,854800
-0.20,855988
-0.20,857180
-0.20,858368
-0.20,859560
-0.20,860748
-0.10,861940
-0.10,863128
-0.20,864320
-0.20,865508
-0.20,866700
-0.20,867888
-0.20,869080
-0.20,870268
-0.20,871460
-0.20,872648
-0.20,873840
-0.20,875028
-0.20,876220
-0.20,982404
-0.20,983012
-0.20,983644
-0.20,984268
-0.20,984896
-0.20,985524
-0.20,986160
-0.20,986780
-0.20,987404
-0.10,988032
-0.20,989048
-0.20,990240
-0.10,991428
-0.20,992620
-0.20,993808
-0.20,995000
-0.20,996188
-0.20,997384
-0.20,998568
-0.20,999760
-0.20,1000948
-0.20,1002224
-0.20,1003500
-0.20,1004772
-0.20,1006048
-0.20,1007324
-0.20,1008600
-0.20,1009872
-0.10,1011148
-0.20,1012424
-0.20,1013700
-0.20,1014972
-0.20,1016248
-0.10,1017524
-0.20,1018800
-0.20,1020072
-0.20,1021348
-0.20,1022624
-0.20,1023900
-0.20,1025172
-0.20,1026448
-0.20,1027724
-0.20,1029000
-0.20,1030272
-0.20,1031548
-0.20,1032824
-0.10,1034100
-0.20,1035372
-0.20,1036648
-0.20,1037924
-0.20,1039200
-0.20,1040472
-0.20,1041748
-0.20,1043024
-0.20,1044300
-0.20,1045572
-0.20,1046848
-0.20,1048124
-0.10,1049400
-0.20,1050672
-0.20,1051948
-0.20,1053224
-0.20,1054500
-0.20,1055772
-0.20,1057048
-0.20,1058324
-0.20,1059600
-0.20,1060880
-0.10,1062148
-0.20,1063424
-0.20,1064700
-0.20,1065972
-0.20,1067248
-0.20,1068524
-0.10,1069800
-0.10,1071072
-0.20,1072348
-0.20,1073624
-0.20,1074900
-0.20,1076172
